Country or Area Code, Country or Area Name, Educational levels,80,85,90,94
203,Czech Republic,lv1,647029,694659,545814,538743
203,Czech Republic,lv2,,1160863,1267699,1193245
203,Czech Republic,lv3,118026,107098,118194,178853
180,Democratic Republic of the Congo,lv1,4195699,4650756,4562430,5417506
180,Democratic Republic of the Congo,lv2,,,,1514323
180,Democratic Republic of the Congo,lv3,28493,40878,80233,93266
208,Denmark,lv1,434635,402707,340267,328875
208,Denmark,lv2,498944,487526,464555,444682
208,Denmark,lv3,106241,116319,142968,169783
262,Djibouti,lv1,16841,25212,31706,35024
262,Djibouti,lv2,5133,7041,9513,11384
212,Dominica,lv1,14815,12340,12836,12627
212,Dominica,lv2,7022,7370,4749,6493
212,Dominica,lv3,63,,430,
214,Dominican Republic,lv1,1105730,1219681,948186,1312325
214,Dominican Republic,lv2,356091,463511,,263236
214,Dominican Republic,lv3,,123748,,
218,Ecuador,lv1,1534258,1738549,1846338,1777304
218,Ecuador,lv2,591969,730226,785844,765073
218,Ecuador,lv3,269775,,206541,202682
818,Egypt,lv1,4662816,6214250,6964306,7313038
818,Egypt,lv2,2929168,3826601,5507257,6147263
818,Egypt,lv3,715701,854584,628233,696988
222,El Salvador,lv1,834101,,,
222,El Salvador,lv2,73030,,,
222,El Salvador,lv3,16838,70499,78211,106795
226,Equatorial Guinea,lv1,44499,,,
226,Equatorial Guinea,lv3,,,578,
232,Eritrea,lv1,,,109087,224287
232,Eritrea,lv2,,,60029,72969
232,Eritrea,lv3,,,,3137
233,Estonia,lv1,131705,138573,127389,121404
233,Estonia,lv2,85873,126440,134463,125052
233,Estonia,lv3,25500,23500,25900,25483
231,Ethiopia,lv1,2130716,2448778,2466464,2722192
231,Ethiopia,lv2,430887,666169,866016,756249
231,Ethiopia,lv3,14368,27338,34076,32671
238,Falkland Islands (Malvinas),lv1,223,,,
238,Falkland Islands (Malvinas),lv2,90,,,
242,Fiji,lv1,116139,127286,143552,
242,Fiji,lv2,49963,45093,,
242,Fiji,lv3,1666,2313,,
246,Finland,lv1,373347,379339,390587,387306
246,Finland,lv2,449322,424076,426864,454707
246,Finland,lv3,123165,127976,165714,205039
250,France,lv1,4610361,4115846,4149143,4071599
250,France,lv2,5013666,5371593,5521862,6003797
250,France,lv3,1076717,1278581,1698938,2072552
254,French Guiana,lv1,9276,,14256,16449
254,French Guiana,lv2,,,10722,15034
258,French Polynesia,lv1,,,28270,30037
258,French Polynesia,lv2,,,20311,
258,French Polynesia,lv3,27,,,
266,Gabon,lv1,155081,183607,,247018
266,Gabon,lv2,29406,44124,,65718
266,Gabon,lv3,,2607,,4655
270,Gambia,lv1,47101,69017,86307,113241
270,Gambia,lv2,9657,367,20400,31567
270,Gambia,lv3,,,,1591
268,Georgia,lv1,322292,311458,352393,291175
268,Georgia,lv2,687475,668884,567998,437413
268,Georgia,lv3,140578,,148391,168011
276,Germany,lv1,,,3431385,3727157
276,Germany,lv2,,,7398011,8152297
276,Germany,lv3,,,2048627,2155728
288,Ghana,lv1,1377734,1505819,1945422,2154646
288,Ghana,lv2,693159,749980,768603,940948
288,Ghana,lv3,7951,8324,13700,
292,Gibraltar,lv1,2750,,,
292,Gibraltar,lv2,1811,,,
300,Greece,lv1,900641,887735,813353,710774
300,Greece,lv2,740058,813534,851353,842633
300,Greece,lv3,121116,181901,283415,296357
308,Grenada,lv1,18076,16538,19811,
308,Grenada,lv2,8626,9571,9776,
312,Guadeloupe,lv1,53581,42734,38531,38332
312,Guadeloupe,lv2,,51634,49846,50899
316,Guam,lv1,18093,16783,,
316,Guam,lv3,3217,,,
320,Guatemala,lv1,803404,1016474,1164937,1412720
320,Guatemala,lv2,171903,,,357878
320,Guatemala,lv3,50890,48283,,77051
324,Guinea,lv1,257547,276438,346807,544729
324,Guinea,lv2,89900,92754,85942,120232
324,Guinea,lv3,18270,8801,5366,8096
624,Guinea-Bissau,lv1,74539,,,100369
624,Guinea-Bissau,lv2,4757,,,
328,Guyana,lv1,130832,113857,104241,99664
328,Guyana,lv2,75335,76546,69696,63838
328,Guyana,lv3,2465,2328,,6945
332,Haiti,lv1,642391,872500,865415,1192986
332,Haiti,lv2,99894,143758,184968,
332,Haiti,lv3,4671,6288,,
336,Holy See,lv3,9104,9775,10938,
340,Honduras,lv1,601337,765809,,1008181
340,Honduras,lv2,127293,,,
340,Honduras,lv3,25825,36620,43117,54106
348,Hungary,lv1,1162203,1297818,1130656,508003
348,Hungary,lv2,357334,422323,514076,1128911
348,Hungary,lv3,101166,99344,102387,170147
352,Iceland,lv1,24736,24603,29816,29138
352,Iceland,lv2,26643,27559,29465,30253
352,Iceland,lv3,4383,4724,5225,7385
356,India,lv1,73873184,87440514,99118320,109043663
356,India,lv2,32748397,44484544,54180391,65206357
356,India,lv3,3545318,4470844,4950974,4932669
360,Indonesia,lv1,25537053,29897115,29753576,29721859
360,Indonesia,lv2,5721815,9479086,10965430,12223753
360,Indonesia,lv3,543175,,,2229796
364,Iran (Islamic Republic of),lv1,4799000,6788323,9369646,9745600
364,Iran (Islamic Republic of),lv2,2718461,3399797,5084832,7652829
364,Iran (Islamic Republic of),lv3,,184442,312076,909476
368,Iraq,lv1,2615910,2816326,3328212,
368,Iraq,lv2,1033418,1190833,1023710,
368,Iraq,lv3,106709,169665,,
372,Ireland,lv1,419998,420236,416747,380983
372,Ireland,lv2,300601,338256,345941,390680
372,Ireland,lv3,54746,70301,90296,121401
376,Israel,lv1,621912,699476,724502,618513
376,Israel,lv2,199859,251466,309098,533797
376,Israel,lv3,97097,116062,134885,182836
380,Italy,lv1,4422888,3703108,3055883,2815631
380,Italy,lv2,5307989,5361579,5117897,4825719
380,Italy,lv3,1117742,1185304,1452286,1791726
388,Jamaica,lv1,359488,340059,323378,305238
388,Jamaica,lv2,248001,229023,238345,
388,Jamaica,lv3,13999,5126,16018,7695
392,Japan,lv1,11826573,11095372,9373295,8612106
392,Japan,lv2,9557563,11058133,11025720,9878568
392,Japan,lv3,2412117,2347463,,3917709
400,Jordan,lv1,454391,530906,926445,1074855
400,Jordan,lv2,266368,335835,100953,132319
400,Jordan,lv3,36549,53753,80442,87507
398,Kazakhstan,lv1,1064000,1147700,1197300,1252000
398,Kazakhstan,lv2,1996100,2173900,2144400,
398,Kazakhstan,lv3,525400,551000,537491,482690
404,Kenya,lv1,3926629,4702414,5392319,5557008
404,Kenya,lv2,428023,457767,635534,619839
404,Kenya,lv3,12986,21756,35421,
296,Kiribati,lv1,13235,13440,14709,16800
296,Kiribati,lv2,2440,2196,3003,3699
410,"Korea, Republic of",lv1,5658002,4856752,4868520,4110302
410,"Korea, Republic of",lv2,4285889,4934975,4559557,4645849
410,"Korea, Republic of",lv3,647505,1455759,1691429,2065579
414,Kuwait,lv1,148983,172975,124996,131264
414,Kuwait,lv2,181882,239581,140324,198661
414,Kuwait,lv3,13630,23678,,27646
417,Kyrgyzstan,lv1,306000,342600,354700,386829
417,Kyrgyzstan,lv2,631400,657300,651200,606381
417,Kyrgyzstan,lv3,64595,71292,57563,
418,Lao People's Democratic Republic,lv1,479291,523347,576472,710702
418,Lao People's Democratic Republic,lv2,90435,113630,127231,163657
418,Lao People's Democratic Republic,lv3,1408,5382,,7908
428,Latvia,lv1,141376,140744,143338,132465
428,Latvia,lv2,279178,288315,264475,243582
428,Latvia,lv3,47230,43914,45953,38046
422,Lebanon,lv1,405402,,,365174
422,Lebanon,lv2,287310,,,323422
422,Lebanon,lv3,79073,79500,,
426,Lesotho,lv1,244838,314003,351632,366935
426,Lesotho,lv2,25292,37343,48209,62399
426,Lesotho,lv3,1188,1771,2029,4365
430,Liberia,lv1,147216,,,
430,Liberia,lv2,54623,,,
434,Libyan Arab Jamahiriya,lv1,662843,1011952,1175229,
434,Libyan Arab Jamahiriya,lv2,296197,143113,257120,
434,Libyan Arab Jamahiriya,lv3,20166,30000,,
440,Lithuania,lv1,172064,172349,202222,221569
440,Lithuania,lv2,415974,466166,396036,351517
440,Lithuania,lv3,70995,93235,88668,70863
442,Luxembourg,lv1,24628,22003,23465,27082
442,Luxembourg,lv2,27487,25656,7594,25607
450,Madagascar,lv1,1723779,,1570721,1511408
450,Madagascar,lv2,11012,,339805,293579
450,Madagascar,lv3,22632,38310,35824,29998
454,Malawi,lv1,809862,942539,1400682,2860819
454,Malawi,lv2,25522,37524,60701,108682
454,Malawi,lv3,2591,3057,4829,5358
458,Malaysia,lv1,2008973,2199096,2455525,2744993
458,Malaysia,lv2,1083818,1294990,1456497,1613182
458,Malaysia,lv3,57650,93249,121412,191290
462,Maldives,lv1,30621,,,50915
462,Maldives,lv2,998,,,21409
466,Mali,lv1,291159,292395,395334,612469
466,Mali,lv2,64124,60306,84220,139777
466,Mali,lv3,,6768,4780,8249
470,Malta,lv1,33063,36240,36899,35051
470,Malta,lv2,25501,27779,32544,35527
470,Malta,lv3,947,1474,3123,5805
474,Martinique,lv1,47382,,32744,33917
474,Martinique,lv2,,,,46178
478,Mauritania,lv1,90530,140871,167229,269173
478,Mauritania,lv2,22102,35955,37653,49008
478,Mauritania,lv3,,4526,5339,7775
480,Mauritius,lv1,128758,140714,137491,123167
480,Mauritius,lv2,81926,72551,79229,89581
480,Mauritius,lv3,1038,1161,3485,5505
484,Mexico,lv1,14666257,15124160,14401588,14574202
484,Mexico,lv2,4741850,6549105,6704297,7264620
484,Mexico,lv3,929865,1207779,1310835,1420461
