 Vars ,       USA ,   GERMANY ,     JAPAN ,    FRANCE ,        UK ,     ITALY ,    CANADA ,  NETHERLA ,  HONG_KON ,  BELGIUM_ ,     CHINA ,    TAIWAN ,  KOREA_RP ,  SINGAPOR ,     SPAIN ,  SWITZERL ,    SWEDEN ,    MEXICO ,  MALAYSIA ,  SAUDI_AR ,  AUSTRALI ,    BRAZIL ,  THAILAND ,   AUSTRIA ,   DENMARK ,  INDONESI ,    NORWAY ,   IRELAND ,   FINLAND ,   FM_USSR 
       USA ,49193,23745243,56904106,16861573,28200884,7613114,112636307,11115808,11685511,8737924,11480034,18290645,19459281,13329153,6135816,5693676,3489530,58332007,8635732,6389103,10135048,9507378,5546747,1458554,1409068,2801792,1702443,3900273,1448458,3461149
   GERMANY ,34993743,0,11425732,51522990,36274188,34377137,3280051,33150270,3803329,28741320,7093844,4447954,5166646,3307800,14802999,24106526,10201553,2846555,2375447,2748934,2996879,3883446,3210332,26316113,8237476,2554812,4162988,2165826,3734638,10471302
     JAPAN ,118481563,18930812,0,6908432,12435199,3617348,6604648,4928411,24944641,3077146,19480284,23637776,24297553,19984639,2650923,2318210,1934312,3557422,13372167,3241162,8484893,1902850,15072203,1241809,1030861,7176454,1413966,1284515,1213871,1107475
    FRANCE ,17594882,43454300,5202750,232367,24878502,24196619,1964219,11209932,2155632,21951595,2242965,1547022,1738665,1956436,17874119,9039849,3037961,1676945,1526079,1427451,1156610,1005517,979662,2754777,2181251,851360,1217373,1118716,976029,1782629
        UK ,27523677,27943877,5281597,21337829,0,11109236,3807300,14386725,3628439,11741099,1683023,1209870,1564072,3038734,8210315,4452577,5580744,719891,2168936,2472175,3163847,882485,1206873,1688460,2734674,773636,3664108,10613996,2235008,1498733
     ITALY ,15942081,37783156,4565502,26699939,12925182,0,1910955,5751668,2967729,6117402,2968011,1425425,1869591,1563910,9570782,7450981,2062217,1052646,791549,1675111,1328291,2015929,797062,5027210,1650219,718167,988473,684013,935022,2919083
    CANADA ,141888358,2094349,7671248,1243682,2669636,1070101,0,645183,903680,716676,1732938,952789,1736630,310018,348276,651594,244507,1493058,210157,441666,702433,894416,320315,209900,85706,384389,472846,121108,135959,119740
  NETHERLA ,6085608,37714741,1436164,14091860,15446762,9396267,638460,0,1149727,20517662,658609,870099,768501,876523,3821972,3288461,2368973,119626,355566,636861,532747,531795,473641,1761969,2458469,485563,1280262,849682,926242,1710018
  HONG_KON ,35084948,6856305,8389236,2051696,5212785,1524592,2365691,2288078,0,1039286,48998743,3681584,2402096,4391702,1071335,1045884,823475,592292,1312522,508204,2116419,629659,1313733,740383,464206,2647987,371491,192417,325268,324691
  BELGIUM_ ,7184177,29103314,1940035,26848711,13119125,8670919,533602,18786639,1399977,0,1069024,839423,537855,617270,4238150,2892987,2022013,322330,342350,700052,460666,512155,660769,1537621,1444318,262577,773744,568162,736532,1038757
     CHINA ,22146659,5401982,21606216,1852053,2222940,1825646,1461552,1678059,32677694,740748,0,2234027,4413809,2285911,926773,372754,590703,197605,983223,620943,1506471,180437,1117332,149574,302753,1406603,211558,102588,177606,1376281
    TAIWAN ,27942000,4431641,10753114,1802550,2397098,934222,2034322,1413963,13886341,357731,14085586,0,1799504,3935849,687884,426433,550627,1029223,3042407,0,1802544,386109,2753215,0,234743,1596813,211804,295135,221172,3295
  KOREA_RP ,20589569,4378506,13373595,1195648,1816323,800711,1740768,757299,7816844,323044,6924570,2715344,0,4078768,677790,239702,394583,1168236,1880362,872502,1217810,754181,1908002,193453,367800,2211074,209057,100975,110192,1098332
  SINGAPOR ,17546368,3855097,6455743,1666897,2784652,633312,949126,1607826,8517249,382113,2383797,3870578,2551836,0,395659,455241,216627,327620,17019559,327072,2132108,314477,5004469,188138,257680,0,163370,548282,149286,796725
     SPAIN ,3933296,11398060,1105409,15709726,6280528,7158151,464978,3164204,433243,2239760,874051,326319,625602,375503,0,1035267,728556,1578035,89071,556271,288135,361794,204607,655600,468511,179643,310615,350748,329914,322270
  SWITZERL ,6686989,16726592,2838643,6477845,5667919,5787926,540928,1954813,2217225,1916594,807345,761019,770110,1058496,1434534,0,1031348,488538,509772,837066,632802,627009,700549,2655245,732509,292113,385322,288732,436802,484186
    SWEDEN ,5150317,9012006,1837141,3368041,7088977,2436739,809623,3359052,402356,3075262,983346,529069,629534,507099,1289854,1271967,0,282856,465140,411135,865404,369678,433866,917399,4398198,301776,4987885,409040,2930761,926068
    MEXICO ,54214850,455893,1022284,494752,319652,93400,3061489,63470,124004,258071,78369,24677,91540,46619,934928,63683,29606,0,8105,19449,60819,415376,37025,10623,16348,32901,20236,61010,10288,3768
  MALAYSIA ,12592637,2248284,6478444,937184,1940222,485740,571853,955435,2463092,449579,1622885,1744187,1706580,13177998,325784,84854,184515,340928,0,269454,867844,120718,2322305,59704,129276,602165,82735,348676,150958,42297
  SAUDI_AR ,8306748,943896,8387085,2794642,1121423,1481408,395830,1616566,227701,110139,248911,0,3837301,3667052,1110113,181789,305020,1595,219644,0,411508,1416405,526166,0,1966,689039,4632,4139,12105,0
  AUSTRALI ,3719308,789979,11797905,630572,1948459,843683,814857,471744,1763263,292643,2187413,2064039,3447195,2917747,225366,95036,108654,160115,1482627,227671,18166,196032,1034147,21763,25227,1673822,52500,41546,106362,188154
    BRAZIL ,9570434,2760267,2761803,1688566,1402407,1780261,661737,1986727,394924,869974,890471,439777,740523,332484,871895,310379,254172,1131019,242468,379530,242395,0,399281,102716,239627,247868,98043,110853,150145,153983
  THAILAND ,9494711,1822176,7668305,1029253,1306645,525096,567472,838457,2318049,626574,922904,974428,571654,5986685,371428,354157,177031,153956,1373929,431244,608512,77212,0,104606,153019,408851,65987,53244,94542,277449
   AUSTRIA ,1810947,17941162,790288,2065372,1543378,3762155,333491,1136980,216211,756437,364773,0,290895,167280,970429,2742754,639409,120534,102383,0,171948,97964,105606,0,347535,187256,270775,95891,260277,26531
   DENMARK ,2169334,8458060,1672172,2347702,3576913,1732189,227022,1653541,289960,850977,226887,145859,363102,173736,801063,814681,4093119,154599,92645,260444,225928,105780,192640,415164,257182,119965,2612978,204355,930106,653527
  INDONESI ,6610779,1765891,11659365,725333,1151687,671296,341380,964900,1550743,357272,1790782,1658153,2682227,2582295,487817,61404,68703,174063,927536,411805,745214,60464,435977,55885,132660,8783,37487,41466,36563,24319
    NORWAY ,2645882,6658689,797265,3270150,6608829,1024255,1229220,2887411,82122,991799,218471,105897,141596,190314,530265,214586,3608431,45640,106191,66368,106537,184508,173671,150334,1983262,78609,0,436371,1226352,181160
   IRELAND ,2689474,4232056,1081849,3038219,9141322,1429260,316628,1647864,107063,1237964,33336,93516,138084,191758,801156,659820,683263,124298,225745,189251,202720,81217,50091,237091,360966,16054,394451,0,210516,196923
   FINLAND ,2291467,4366861,661293,1671078,3451668,970425,213331,1529824,336892,735953,458529,157141,422084,298809,799079,458792,3388604,71409,178632,120624,381800,123397,247608,330060,1088571,241731,1026073,150945,0,2554348
   FM_USSR ,1905859,7098407,509699,1248713,1287802,1643785,115431,703576,60601,589982,2205140,836,106065,13062,213905,67732,985801,57615,1808,681,2460,14719,110106,29286,418783,4465,671569,24823,1259156,2089691
