 Vars ,       USA ,   GERMANY ,     JAPAN ,    FRANCE ,        UK ,     ITALY ,    CANADA ,  NETHERLA ,  HONG_KON ,  BELGIUM_ ,     CHINA ,    TAIWAN ,  KOREA_RP ,  SINGAPOR ,     SPAIN ,  SWITZERL ,    SWEDEN ,    MEXICO ,  MALAYSIA ,  SAUDI_AR ,  AUSTRALI ,    BRAZIL ,  THAILAND ,   AUSTRIA ,   DENMARK ,  INDONESI ,    NORWAY ,   IRELAND ,   FINLAND ,   FM_USSR 
       USA ,44600,21620443,51377929,17069263,25743715,8783649,85216426,10716698,6951910,7559012,5979555,12354541,16004881,8485906,6727844,4858834,4231036,29190546,4461606,4331744,9033026,5931670,3284943,1476586,1766267,2189605,2009068,2757845,1594099,3313988
   GERMANY ,29202231,0,11105562,50439293,35861317,38718640,3151331,33514554,1822093,28320601,2419776,2445456,3165806,2055895,14831446,24449025,10643238,1710709,1132851,1672640,2402394,1894828,1452785,22953438,7325748,1495739,4040280,1795306,4648463,6434121
     JAPAN ,94290444,18600364,0,7972980,11287825,3791727,7846815,4045395,13153667,2492322,6541949,15942514,18240819,11433279,3241631,2994299,2398859,1218589,6472687,3462630,6987259,1554977,9623363,1900159,1125823,5197308,1041106,1051274,1399594,2655939
    FRANCE ,13124644,36971274,4427984,159345,21198951,25419249,2160016,10974980,1119441,19347015,1548161,901826,1245495,1218678,13126038,8572097,2688886,688291,360107,1312837,865293,747384,717397,2100068,1706644,658348,991954,951204,1152911,1515553
        UK ,23657257,25375414,5043442,19742375,0,10473706,4417616,11708175,1947712,9863690,1267316,779730,1198901,1944513,7433361,4343821,4935416,502397,1143934,3640644,3038932,606919,876240,1383228,2673971,458405,2664031,9331622,2166973,1096221
     ITALY ,13171945,32487262,4248568,27918260,12248967,0,1585610,4963993,1347715,5599739,1037759,733214,1117007,873903,8910461,7723574,2273245,494658,382725,1212558,1093783,780589,402253,4448008,1312043,397073,827840,511097,1209326,2664648
    CANADA ,100841736,2404197,7718037,1429460,3552741,1118690,0,897481,587509,788193,1476755,734330,1479571,398553,392031,863797,325652,645713,252711,255337,764878,529341,421580,187017,117021,324026,560214,128153,166934,1035142
  NETHERLA ,5017338,34129553,1028549,12547204,15779438,9123766,562094,0,443705,19594100,267122,430489,372910,477174,3149607,2635510,2166127,189912,187464,458389,418606,319930,205765,1369560,1857420,422848,1014232,780237,847489,520417
  HONG_KON ,20164701,5342515,4481384,1301262,3685973,929214,1552526,1293065,0,667184,21235345,3577665,1925909,2685837,583885,881552,582890,310124,664444,373499,1143851,109202,977430,496553,317524,1613887,211352,110221,195683,117383
  BELGIUM_ ,5186436,24961117,1574930,22336104,10963911,8619583,511522,17247504,639971,0,355161,406237,408552,298223,2760007,2564184,1734264,262927,190602,491365,328993,153710,490958,1457227,1031960,225616,630640,440423,721958,454394
     CHINA ,5765184,2064523,10161282,908953,657501,946420,467974,566599,27281676,263931,0,330574,756378,1978730,293305,106259,175934,142414,469018,349605,636989,148682,969900,90320,164543,869572,59966,22376,84317,2320522
    TAIWAN ,23829543,3822872,8496359,1862066,2160722,1126965,1807113,1104254,7457545,319891,2255195,0,1451875,2903179,810196,398915,546295,0,1607251,0,1375946,108486,1728301,425106,204819,1452011,179627,150156,231978,0
  KOREA_RP ,20282889,2865123,12817076,1373753,1834141,814712,1936573,601751,3940755,269949,584141,1290039,0,1931853,598080,311214,857149,449802,797689,766723,980502,107442,1080893,248892,283970,1042424,161241,66480,164046,0
  SINGAPOR ,11678368,2165606,4400687,1044592,1876530,671782,586090,1008231,3562459,345990,994516,2671193,1161399,0,300320,199464,170902,74321,6312603,286697,1216486,76361,3134542,161566,183615,900692,209889,115900,70010,342624
     SPAIN ,3354187,7935083,677979,11777741,5363911,5897675,382938,2313510,156080,1641859,314361,130859,179638,168630,0,870071,599088,541837,39263,342682,152704,199546,127895,436442,319563,130949,321325,223659,265503,380943
  SWITZERL ,5172589,13821954,3085477,6077962,5554269,5698726,543723,1726629,1613011,1559491,373596,477729,529640,714009,1291315,0,1061723,348441,215633,627236,484263,382883,421603,2240382,644864,233321,385459,149884,477372,744245
    SWEDEN ,5002701,8084174,1229287,3459748,6270615,2690044,763489,2540406,214835,2498103,247973,382784,359157,311411,1556622,1346153,0,363336,211743,362944,642671,282086,259031,885038,3736137,186824,4516611,342820,3738669,426471
    MEXICO ,20423452,431041,1587887,607831,284734,160191,798638,190155,25458,237048,39092,0,141420,27449,1449778,137003,14589,0,4825,10762,41170,191237,21014,41746,8303,17800,3878,7353,3170,25976
  MALAYSIA ,5160068,1201602,4480414,526486,1288383,316712,297764,589695,1027536,234200,672622,660482,1387917,7429265,170988,58262,96819,37686,0,156798,500604,47238,1037869,55559,71356,344017,27602,41774,31000,141680
  SAUDI_AR ,10733543,1168056,10461530,2858026,1416641,1777414,543837,1409963,88920,351934,81200,0,1733040,3247296,562669,389695,153731,96,146589,0,568836,1651135,411382,42992,32844,367854,10229,1513,84850,0
  AUSTRALI ,4879258,1077919,10907710,701472,1690253,854316,686339,710782,993777,407116,1147046,1451565,2403340,2059934,169641,812334,93523,99278,954697,238242,13527,97070,505537,38619,70385,1092348,28560,13324,61743,340024
    BRAZIL ,8377230,2761775,2594306,1446286,1116503,1739990,589934,1309854,261204,615318,437783,464257,601006,264961,844916,245086,220528,494913,241471,310177,211829,0,251867,123858,105078,173891,100230,51778,105841,223568
  THAILAND ,5453559,1379234,4058222,700115,948667,464837,321833,718151,1052181,373654,311226,386808,420563,1687285,269932,280213,139895,75939,663905,334107,375749,6756,0,100464,109279,170103,43300,28764,70964,107221
   AUSTRIA ,1332205,15267706,690300,2099329,1753639,4161034,349881,1176441,146070,912595,298190,103194,145705,125210,975183,2854995,793463,50730,62260,178405,172569,57125,95123,0,387133,105007,257357,75265,376282,915024
   DENMARK ,1695204,6691956,1138487,2048224,3961454,1770310,200921,1558048,138508,732175,125035,104428,188395,109989,696311,654305,4273502,53747,76089,187269,163795,41822,118285,331548,264586,70986,1883936,176981,887014,349499
