 Vars ,       USA ,   GERMANY ,     JAPAN ,    FRANCE ,        UK ,     ITALY ,    CANADA ,  NETHERLA ,  HONG_KON ,  BELGIUM_ ,     CHINA ,    TAIWAN ,  KOREA_RP ,  SINGAPOR ,     SPAIN ,  SWITZERL ,    SWEDEN ,    MEXICO ,  MALAYSIA ,  SAUDI_AR ,  AUSTRALI ,    BRAZIL ,  THAILAND ,   AUSTRIA ,   DENMARK ,  INDONESI ,    NORWAY ,   IRELAND ,   FINLAND ,   FM_USSR 
       USA ,27868,10318956,24831506,7535214,14147265,5194806,54837420,5964424,2862458,3768697,4753050,4582005,6355293,3858510,3198658,2031171,2181541,12178750,1760068,4165802,5310577,3123812,818978,633981,912213,1474224,968752,1634671,636588,2676923
   GERMANY ,20175248,0,2841530,21597570,17045814,15320857,1933346,15765365,810886,12910619,2243329,762127,829266,833919,3505488,10045066,5264155,795514,460182,2068320,1597143,923029,426452,9295570,4056049,636464,2478999,958516,2054528,3754064
     JAPAN ,71213901,7048100,0,2829992,5162344,1417091,4551072,1631009,6866321,1250663,13155714,5421926,7610479,4321044,970924,1208080,1325175,906616,2705148,3787368,5387595,575920,2323619,630401,733023,2557433,847229,333501,653395,2921546
    FRANCE ,9274875,15594727,1257098,104608,8905300,11537545,1063310,4882640,447785,8411873,735304,240252,519890,579870,3267435,4142549,1540370,297725,290259,1361469,511234,379929,273083,790365,859691,396744,622421,493712,474689,2004507
        UK ,16307355,13940897,1407499,10294862,0,4890564,2327964,8038004,1256954,5049562,603416,254202,568180,849694,2298123,1872737,4325859,360988,451591,1792550,1794470,337148,229478,546806,1850409,336842,1647655,4596000,1033337,731173
     ITALY ,10317991,13435150,996709,11604160,5882263,0,979447,2345279,464457,2286463,884790,216731,234196,407383,1483050,3302672,964774,256943,138386,2042517,758557,244527,95128,1815180,685687,125287,519812,232701,466131,1624949
    CANADA ,74218067,1186986,4647768,715108,2035700,490898,0,420654,247789,367300,964350,376400,628615,90902,116563,234291,169730,333648,177360,138870,518480,555145,119290,81213,66957,227304,275960,77339,93928,1295467
  NETHERLA ,4245758,21132070,435046,7234459,8356421,4591861,438411,0,215354,10388447,259908,215331,218480,223668,770290,1484483,1296094,94157,108189,678778,310250,148251,94235,667786,1074299,215453,631484,398794,455501,359132
  HONG_KON ,9860458,1302459,1306040,345602,1409738,223840,739341,331121,0,135311,7722739,734966,604771,897851,117795,353354,230386,21593,273980,252593,633631,15931,225147,100651,88344,891200,81421,52076,49982,70118
  BELGIUM_ ,3589454,10320157,472528,10051849,5924738,3312897,404138,8301611,283945,0,264473,116728,205976,116608,550452,1390109,821980,109780,97804,471162,187531,73309,88069,472147,609810,97143,418520,215822,269341,666988
     CHINA ,2386089,702034,5913199,345753,351496,404861,227094,188471,5070298,113121,0,0,0,2111738,60885,79443,72026,25688,188072,140559,196584,424844,183730,1897,87121,327238,2506,717,25937,1041609
    TAIWAN ,16155948,892546,3574044,323831,697013,278217,947767,369566,2724440,117821,0,0,317624,1027450,66220,81177,116677,5921,292852,660644,801385,18042,275742,62483,57535,328920,29988,30972,22789,0
  KOREA_RP ,11666342,1050712,4678153,402799,944761,210296,1251716,320249,1613000,96274,0,224590,0,522362,76843,157933,227439,19466,527035,1067282,392356,11850,189605,80621,71485,241533,499475,20576,41945,0
  SINGAPOR ,5057795,544921,1968268,401847,661763,263016,176316,285825,1522538,99220,343082,387807,313084,0,89139,54592,60197,43623,3044319,259689,691705,67027,841286,27798,44382,169904,56760,24423,17975,257089
     SPAIN ,2644779,2593877,332595,4140755,2295903,1796060,246056,1140377,84061,635033,501031,49885,47844,48414,0,428703,308741,235501,24511,455026,102918,54485,32444,123382,179727,96226,148349,100280,120763,474611
  SWITZERL ,3136493,5714880,920272,2342993,2598422,2268254,344571,779673,484394,631514,250396,130100,129715,201877,489092,0,559501,157648,83093,539409,256149,224582,122191,1041133,354262,71572,237372,94679,230185,276829
    SWEDEN ,3838327,3783154,423977,1662364,3248251,1108639,518580,1409788,91334,1212017,227754,119157,197532,169259,406172,591990,0,176035,195426,293542,435088,102917,66904,395056,2539460,91830,3050083,200403,1734906,329495
    MEXICO ,16630849,305219,1891982,586593,299393,339399,664732,168184,17436,64414,54104,0,132132,5996,1732693,21388,6052,0,1732,3313,22791,395987,23086,61494,9058,2016,6092,386,6977,8413
  MALAYSIA ,2209382,552811,3827286,261613,451429,169753,102284,638594,176270,84604,163018,407311,1019982,3284687,64357,16829,44343,5450,0,74621,241774,9989,557170,22021,31273,69504,17894,13427,9434,201854
  SAUDI_AR ,537494,122631,2627604,169077,111883,306680,15268,93551,11477,87577,0,185658,201406,128161,99573,27601,11272,0,20298,0,58930,89419,34667,8561,2251,59965,7767,3468,13410,0
  AUSTRALI ,2183615,634404,6601067,529776,857337,549261,281872,231576,577283,159696,881875,718811,1000323,709235,153799,42520,62985,74281,444169,418067,11725,74291,135850,14069,88810,361650,64655,6789,38938,632949
